(-6.00,-6.00,-1.19)(-6.00,-5.00,-0.98)(-6.00,-4.00,-0.83)(-6.00,-3.00,-0.77)(-6.00,-2.00,-0.63)(-6.00,-1.00,-0.53)(-6.00,0.00,-0.30)(-6.00,1.00,-0.03)(-6.00,2.00,0.03)(-6.00,3.00,0.20)(-6.00,4.00,0.50)(-6.00,5.00,0.59)(-6.00,6.00,0.76)

(-5.00,-6.00,-1.20)(-5.00,-5.00,-0.98)(-5.00,-4.00,-0.83)(-5.00,-3.00,-0.77)(-5.00,-2.00,-0.63)(-5.00,-1.00,-0.30)(-5.00,0.00,-0.30)(-5.00,1.00,0.00)(-5.00,2.00,0.06)(-5.00,3.00,0.30)(-5.00,4.00,0.63)(-5.00,5.00,0.72)(-5.00,6.00,0.80)

(-4.00,-6.00,-1.17)(-4.00,-5.00,-0.98)(-4.00,-4.00,-0.83)(-4.00,-3.00,-0.78)(-4.00,-2.00,-0.63)(-4.00,-1.00,-0.30)(-4.00,0.00,-0.30)(-4.00,1.00,0.00)(-4.00,2.00,0.06)(-4.00,3.00,0.30)(-4.00,4.00,0.63)(-4.00,5.00,0.72)(-4.00,6.00,0.82)

(-3.00,-6.00,-1.12)(-3.00,-5.00,-0.94)(-3.00,-4.00,-0.94)(-3.00,-3.00,-0.81)(-3.00,-2.00,-0.65)(-3.00,-1.00,-0.30)(-3.00,0.00,-0.30)(-3.00,1.00,0.00)(-3.00,2.00,0.10)(-3.00,3.00,0.30)(-3.00,4.00,0.67)(-3.00,5.00,0.67)(-3.00,6.00,0.85)

(-2.00,-6.00,-0.81)(-2.00,-5.00,-0.65)(-2.00,-4.00,-0.65)(-2.00,-3.00,-0.30)(-2.00,-2.00,-0.30)(-2.00,-1.00,-0.30)(-2.00,0.00,0.00)(-2.00,1.00,0.30)(-2.00,2.00,0.30)(-2.00,3.00,0.30)(-2.00,4.00,0.67)(-2.00,5.00,0.67)(-2.00,6.00,0.85)

(-1.00,-6.00,-0.78)(-1.00,-5.00,-0.71)(-1.00,-4.00,-0.63)(-1.00,-3.00,-0.30)(-1.00,-2.00,-0.30)(-1.00,-1.00,-0.30)(-1.00,0.00,0.00)(-1.00,1.00,0.30)(-1.00,2.00,0.30)(-1.00,3.00,0.30)(-1.00,4.00,0.63)(-1.00,5.00,0.72)(-1.00,6.00,0.82)

(0.00,-6.00,-0.77)(0.00,-5.00,-0.71)(0.00,-4.00,-0.63)(0.00,-3.00,-0.30)(0.00,-2.00,-0.30)(0.00,-1.00,-0.30)(0.00,0.00,0.00)(0.00,1.00,0.30)(0.00,2.00,0.30)(0.00,3.00,0.30)(0.00,4.00,0.63)(0.00,5.00,0.72)(0.00,6.00,0.80)

(1.00,-6.00,-0.78)(1.00,-5.00,-0.71)(1.00,-4.00,-0.63)(1.00,-3.00,-0.30)(1.00,-2.00,-0.30)(1.00,-1.00,-0.30)(1.00,0.00,0.00)(1.00,1.00,0.30)(1.00,2.00,0.30)(1.00,3.00,0.30)(1.00,4.00,0.63)(1.00,5.00,0.72)(1.00,6.00,0.82)

(2.00,-6.00,-0.81)(2.00,-5.00,-0.65)(2.00,-4.00,-0.65)(2.00,-3.00,-0.30)(2.00,-2.00,-0.30)(2.00,-1.00,-0.30)(2.00,0.00,0.00)(2.00,1.00,0.30)(2.00,2.00,0.30)(2.00,3.00,0.30)(2.00,4.00,0.67)(2.00,5.00,0.67)(2.00,6.00,0.85)

(3.00,-6.00,-0.77)(3.00,-5.00,-0.55)(3.00,-4.00,-0.55)(3.00,-3.00,-0.19)(3.00,-2.00,-0.06)(3.00,-1.00,0.04)(3.00,0.00,0.30)(3.00,1.00,0.55)(3.00,2.00,0.67)(3.00,3.00,0.85)(3.00,4.00,0.97)(3.00,5.00,0.97)(3.00,6.00,1.12)

(4.00,-6.00,-0.73)(4.00,-5.00,-0.54)(4.00,-4.00,-0.46)(4.00,-3.00,-0.17)(4.00,-2.00,-0.02)(4.00,-1.00,0.04)(4.00,0.00,0.30)(4.00,1.00,0.57)(4.00,2.00,0.63)(4.00,3.00,0.82)(4.00,4.00,0.87)(4.00,5.00,1.02)(4.00,6.00,1.17)

(5.00,-6.00,-0.70)(5.00,-5.00,-0.49)(5.00,-4.00,-0.40)(5.00,-3.00,-0.15)(5.00,-2.00,-0.00)(5.00,-1.00,0.06)(5.00,0.00,0.30)(5.00,1.00,0.62)(5.00,2.00,0.63)(5.00,3.00,0.80)(5.00,4.00,0.87)(5.00,5.00,1.02)(5.00,6.00,1.41)

(6.00,-6.00,-0.70)(6.00,-5.00,-0.47)(6.00,-4.00,-0.36)(6.00,-3.00,-0.13)(6.00,-2.00,0.01)(6.00,-1.00,0.07)(6.00,0.00,0.30)(6.00,1.00,0.64)(6.00,2.00,0.64)(6.00,3.00,0.80)(6.00,4.00,0.87)(6.00,5.00,1.02)(6.00,6.00,1.19)

(7.00,-6.00,-0.68)(7.00,-5.00,-0.46)(7.00,-4.00,-0.32)(7.00,-3.00,-0.11)(7.00,-2.00,0.02)(7.00,-1.00,0.08)(7.00,0.00,0.30)(7.00,1.00,0.66)(7.00,2.00,0.66)(7.00,3.00,0.81)(7.00,4.00,0.87)(7.00,5.00,1.02)(7.00,6.00,1.18)

(8.00,-6.00,-0.67)(8.00,-5.00,-0.45)(8.00,-4.00,-0.30)(8.00,-3.00,-0.09)(8.00,-2.00,0.03)(8.00,-1.00,0.09)(8.00,0.00,0.30)(8.00,1.00,0.67)(8.00,2.00,0.67)(8.00,3.00,0.82)(8.00,4.00,0.88)(8.00,5.00,1.00)(8.00,6.00,1.17)

